maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact,efficiency
1906,50299,1566,1.04,1.05,36872,48.9,35306,8.1,0.73,0.16,0.7,0.09,0.09,69.5,1.24,1.042857142857143
870,22834,1402,1.09,1.05,16229,55.5,14827,3.6,0.71,0.12,0.65,0.1,0.11,72.1,1.06,1.0923076923076922
555,14146,585,1.06,1.05,10452,48.7,9867,3.9,0.74,0.13,0.7,0.1,0.1,69.3,1.21,1.0571428571428572
1077,29055,1848,1.1,1.05,20281,42.5,18433,4.5,0.7,0.13,0.63,0.08,0.1,72.4,1.05,1.111111111111111
1930,50719,2512,1.07,1.05,37047,36.6,34535,4.0,0.73,0.14,0.68,0.08,0.08,67.6,1.16,1.0735294117647058
425,11070,553,1.07,1.05,8110,33.8,7557,1.5,0.73,0.1,0.68,0.07,0.08,67.2,1.2,1.0735294117647058
799,21344,1033,1.07,1.05,15351,55.3,14318,4.5,0.72,0.13,0.67,0.11,0.12,71.2,1.12,1.0746268656716418
500,12856,691,1.08,1.05,9305,49.4,8614,3.8,0.72,0.17,0.67,0.13,0.12,73.8,1.14,1.0746268656716418
1745,45680,2884,1.1,1.05,31980,41.0,29096,3.1,0.7,0.12,0.64,0.09,0.1,70.1,1.02,1.09375
1489,39475,2484,1.1,1.05,28048,28.0,25564,4.0,0.71,0.11,0.65,0.08,0.09,69.7,1.13,1.0923076923076922
532,14210,416,1.04,1.05,10762,57.2,10346,5.3,0.76,0.13,0.73,0.1,0.1,68.7,1.17,1.0410958904109588
870,22901,783,1.05,1.05,16450,47.9,15667,3.6,0.72,0.13,0.68,0.12,0.13,71.7,1.11,1.0588235294117645
1054,27638,1872,1.11,1.05,19254,50.8,17382,4.2,0.7,0.13,0.63,0.1,0.11,72.6,1.04,1.111111111111111
1772,46627,3043,1.1,1.05,32732,40.8,29689,4.2,0.7,0.15,0.64,0.09,0.1,71.3,1.01,1.09375
464,12520,627,1.08,1.05,8902,31.2,8275,3.2,0.71,0.1,0.66,0.1,0.11,69.3,1.1,1.0757575757575757
653,17182,604,1.05,1.05,12452,46.7,11848,3.4,0.72,0.13,0.69,0.1,0.11,69.9,1.16,1.0434782608695652
1234,32625,1982,1.09,1.05,22914,56.4,20932,4.7,0.7,0.13,0.64,0.1,0.1,72.0,1.09,1.09375
953,25375,1383,1.08,1.05,17918,49.4,16535,3.4,0.71,0.11,0.65,0.1,0.1,71.7,1.06,1.0923076923076922
795,20701,1040,1.07,1.05,15002,49.8,13962,2.6,0.72,0.13,0.67,0.1,0.12,71.9,1.11,1.0746268656716418
429,11195,574,1.08,1.05,8076,31.3,7502,1.6,0.72,0.09,0.67,0.08,0.1,68.2,1.09,1.0746268656716418
941,24972,1215,1.07,1.05,17881,41.6,16666,2.7,0.72,0.15,0.67,0.11,0.11,72.5,1.13,1.0746268656716418
1088,28991,1373,1.07,1.05,21088,43.1,19715,4.0,0.73,0.14,0.68,0.1,0.1,70.6,1.14,1.0735294117647058
1008,26413,1739,1.1,1.05,18549,47.5,16810,4.5,0.7,0.13,0.64,0.09,0.11,73.1,0.97,1.09375
1058,28161,1801,1.1,1.05,19389,55.2,17588,3.7,0.69,0.11,0.62,0.08,0.1,71.6,0.98,1.1129032258064515
640,16832,1092,1.1,1.05,11650,27.4,10558,3.7,0.69,0.11,0.63,0.07,0.08,69.1,1.08,1.0952380952380951
626,16210,803,1.07,1.05,11657,46.4,10854,4.8,0.72,0.15,0.67,0.1,0.11,71.5,1.11,1.0746268656716418
1868,49019,2712,1.08,1.05,34701,42.0,31989,9.1,0.71,0.17,0.65,0.09,0.08,70.2,1.06,1.0923076923076922
527,14037,993,1.11,1.05,9766,34.7,8773,3.0,0.7,0.1,0.62,0.09,0.11,71.7,1.06,1.129032258064516
516,13467,604,1.06,1.05,9899,50.8,9295,3.7,0.74,0.14,0.69,0.08,0.1,69.7,1.05,1.0724637681159421
